open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1646319600000,43409.10,43490.50,42943.00,43091.00,17365.290,1646321399999,749649501.69828,184009,8073.027,348575478.40736,0
1646321400000,43091.00,43151.90,42333.00,42549.50,33568.154,1646323199999,1431191803.80245,300348,14829.748,632247546.88196,0
1646323200000,42549.50,42761.40,42243.00,42666.50,20319.257,1646324999999,863658224.71559,187115,10792.480,458907461.71508,0
1646325000000,42666.50,42686.50,42287.20,42412.10,11864.830,1646326799999,504135758.27866,107944,5585.398,237367461.46960,0
1646326800000,42412.00,42493.30,42063.00,42127.90,13232.343,1646328599999,559281139.02762,125187,5365.933,226922854.84137,0
1646328600000,42127.90,42566.00,42051.00,42394.50,15161.281,1646330399999,642724335.73413,139216,8323.141,352849135.82105,0
1646330400000,42394.60,42522.20,42304.40,42401.40,5106.035,1646332199999,216734618.08436,53907,2603.416,110525464.23053,0
1646332200000,42401.30,42430.00,42180.00,42254.80,8539.792,1646333999999,361226558.50032,80049,3945.472,166897930.67749,0
1646334000000,42254.80,42419.40,42217.50,42375.80,4708.156,1646335799999,199287607.89742,47800,2592.553,109746334.23633,0
1646335800000,42375.70,42387.30,42085.40,42220.60,5499.876,1646337599999,232258395.46967,57262,2613.982,110408702.95250,0
1646337600000,42220.60,42276.50,42001.30,42240.00,7705.911,1646339399999,324711388.34248,79804,3790.040,159747264.57788,0
1646339400000,42240.10,42249.90,41833.00,42033.50,13551.763,1646341199999,569014448.78533,126012,6100.700,256196837.67773,0
1646341200000,42033.50,42140.00,41831.00,42088.30,6319.814,1646342999999,265450108.98090,68881,3173.507,133318292.64434,0
1646343000000,42088.30,42128.90,41880.10,42085.50,6363.966,1646344799999,267179867.88814,59948,3272.989,137436254.18512,0
1646344800000,42085.50,42661.10,42074.40,42589.30,12375.198,1646346599999,525112698.36343,127879,7408.150,314340642.28161,0
1646346600000,42587.10,42700.00,42438.80,42482.10,4977.917,1646348399999,211837608.61454,60961,2294.339,97664581.70320,0
1646348400000,42482.10,42606.60,42362.10,42519.70,3715.189,1646350199999,157875684.22535,40416,1948.337,82798336.72505,0
1646350200000,42519.60,42536.20,42412.80,42449.50,2253.929,1646351999999,95716574.65227,27632,1066.162,45281180.26147,0
1646352000000,42449.60,42525.30,42105.10,42187.90,6330.514,1646353799999,267610803.64823,72912,2701.490,114195768.66630,0
1646353800000,42187.90,42363.60,41500.00,41597.10,18716.636,1646355599999,781898985.37740,180346,7537.054,314975579.53646,0
1646355600000,41597.10,41686.50,41050.00,41457.10,25381.142,1646357399999,1049352316.22372,231772,12351.771,510877817.96293,0
1646357400000,41457.90,41560.90,41300.00,41502.40,7691.542,1646359199999,318696008.17799,76618,4067.618,168573040.65136,0
1646359200000,41503.70,41509.20,41346.50,41431.40,4091.694,1646360999999,169423993.11017,43111,1891.507,78319462.66250,0
1646361000000,41431.40,41535.10,41364.60,41402.00,3435.168,1646362799999,142403302.75437,37860,1716.793,71174530.48176,0
1646362800000,41402.00,41482.60,41207.50,41428.20,5612.712,1646364599999,232117179.76547,54146,2706.432,111943399.52543,0
1646364600000,41428.20,41477.20,41320.70,41441.10,3217.753,1646366399999,133215220.06604,36952,1679.238,69533137.46844,0
1646366400000,41441.10,41446.90,41069.70,41196.20,7567.633,1646368199999,312155937.07565,70088,3010.648,124193357.26957,0
1646368200000,41196.20,41387.20,41132.40,41374.80,4400.424,1646369999999,181656998.86781,45241,2624.408,108343026.91874,0
1646370000000,41374.90,41425.00,41277.80,41328.70,3056.213,1646371799999,126397397.68122,34827,1506.415,62310863.49563,0
1646371800000,41328.70,41398.00,41225.00,41363.00,2775.720,1646373599999,114702941.44748,32168,1317.784,54463245.40340,0
1646373600000,41363.00,41489.80,41319.40,41418.30,4326.428,1646375399999,179173677.89021,46013,2382.206,98660059.59490,0
1646375400000,41418.30,41418.30,41236.60,41394.40,2737.434,1646377199999,113171945.69214,33035,1079.822,44647328.47960,0
1646377200000,41394.40,41467.30,41263.20,41357.50,4466.757,1646378999999,184750494.86906,49231,2171.576,89838776.81360,0
1646379000000,41357.50,41440.60,41269.30,41427.60,3615.393,1646380799999,149457573.96294,37074,1805.173,74637029.69435,0
1646380800000,41427.70,41775.40,41260.00,41287.70,14591.078,1646382599999,605852449.45038,138895,7476.040,310554158.05806,0
1646382600000,41287.80,41597.10,40800.00,41569.30,22817.273,1646384399999,939753617.07436,247429,10683.386,440271861.57740,0
1646384400000,41569.30,41850.00,41300.90,41674.80,13766.686,1646386199999,572358848.24253,143979,7161.587,297900879.28794,0
1646386200000,41674.90,41736.00,41457.70,41511.10,5536.230,1646387999999,230387862.68608,68321,2566.419,106823368.98898,0
1646388000000,41511.00,41736.00,41458.00,41661.40,4682.275,1646389799999,194780627.24397,55603,2494.366,103777790.20315,0
1646389800000,41661.50,41783.40,41610.00,41656.70,3900.961,1646391599999,162677182.53001,50648,2013.169,83961625.46688,0
1646391600000,41658.10,41726.80,41549.10,41690.40,3000.378,1646393399999,124932901.45369,41019,1466.893,61091226.38888,0
1646393400000,41690.30,41887.50,41561.00,41639.60,6247.865,1646395199999,260744251.11604,71290,3114.497,129990094.31746,0
1646395200000,41643.40,41746.40,41350.00,41387.90,7320.797,1646396999999,304015119.06285,87328,3277.510,136130599.55503,0
1646397000000,41387.90,41674.20,41330.20,41501.90,8018.469,1646398799999,332782594.09177,83588,4344.655,180297735.69408,0
1646398800000,41502.00,41562.80,41350.00,41516.20,3961.212,1646400599999,164203474.77299,49761,1867.234,77420000.89816,0
1646400600000,41516.30,41825.80,41220.00,41315.10,16683.728,1646402399999,692189893.20789,172412,7979.833,331215373.00050,0
1646402400000,41318.00,41379.60,40854.10,41328.20,15974.275,1646404199999,657946676.14900,169245,7803.502,321534258.32017,0
1646404200000,41327.80,41548.50,40610.00,41101.00,27908.357,1646405999999,1143433176.92497,286227,13450.976,551293894.32146,0
1646406000000,41100.90,41256.00,40540.00,40852.80,23960.335,1646407799999,978317893.99699,236016,11335.928,462992632.83311,0
1646407800000,40852.90,40950.00,40650.40,40694.60,9018.765,1646409599999,367847245.91904,104013,4634.754,189077647.89955,0
1646409600000,40694.60,40809.80,40410.00,40671.50,18397.579,1646411399999,746877311.89898,187158,8802.001,357488720.43744,0
1646411400000,40671.60,40829.90,40520.50,40754.10,7690.967,1646413199999,313180362.47821,85671,3905.523,159044922.42299,0
1646413200000,40754.20,40954.60,40653.90,40863.20,7090.637,1646414999999,289579860.51062,76284,3812.902,155758362.30407,0
1646415000000,40863.20,40900.40,40674.10,40835.00,4773.919,1646416799999,194788620.29669,50095,2376.019,96973058.90533,0
1646416800000,40835.00,40932.90,40718.00,40771.50,4006.764,1646418599999,163577873.02438,45212,2125.852,86803523.29539,0
1646418600000,40771.40,40841.10,40552.00,40610.70,4047.632,1646420399999,164692020.80820,49037,1931.531,78614915.98512,0
1646420400000,40610.60,40647.80,40122.40,40276.40,16076.859,1646422199999,647814899.80281,164906,7068.050,284719894.67067,0
1646422200000,40275.00,40332.30,39650.00,39785.40,18472.928,1646423999999,738121959.37719,188773,7221.453,288631230.69286,0
1646424000000,39785.30,39888.70,39026.40,39394.90,26988.919,1646425799999,1064985690.80103,264917,12223.576,482580746.38934,0
1646425800000,39395.00,39598.90,39272.70,39457.40,10257.924,1646427599999,404466053.58270,107678,5330.681,210232413.31329,0
1646427600000,39457.50,39549.20,39180.30,39336.10,7547.424,1646429399999,297118545.46279,80550,3427.056,134940732.88279,0
1646429400000,39336.40,39626.00,39221.10,39381.90,6903.977,1646431199999,272225782.22708,73481,3739.083,147477222.63669,0
1646431200000,39383.80,39473.00,38622.00,38632.60,17169.845,1646432999999,669533085.28288,173164,7006.381,273416677.75730,0
1646433000000,38632.90,39046.90,38521.00,38978.90,11981.189,1646434799999,464433651.78727,132697,6522.770,252961607.02941,0
1646434800000,38981.30,39086.40,38811.50,39001.50,6653.555,1646436599999,259174925.46265,74684,3446.761,134291151.31821,0
1646436600000,39001.50,39234.60,38982.80,39127.70,6266.409,1646438399999,245081472.08949,67329,3572.092,139723295.97698,0
1646438400000,39127.70,39176.30,38880.00,39023.80,7145.364,1646440199999,278748089.27353,74057,3441.749,134280304.38594,0
1646440200000,39023.80,39036.70,38708.80,38732.30,6549.664,1646441999999,254397543.43049,74279,2866.104,111337774.74875,0
1646442000000,38732.30,39053.50,38547.60,38954.90,9496.526,1646443799999,368682823.96721,86819,5022.659,195091294.07304,0
1646443800000,38954.90,39074.80,38772.80,38972.10,4171.323,1646445599999,162414649.87727,45727,2117.430,82469412.81316,0
